g_total,g_hinge,g_l1,d
"tf.Tensor(1.0880803, shape=(), dtype=float32)","tf.Tensor(-0.0015677209, shape=(), dtype=float32)","tf.Tensor(1.089648, shape=(), dtype=float32)","tf.Tensor(0.9999887, shape=(), dtype=float32)"
"tf.Tensor(1.0880011, shape=(), dtype=float32)","tf.Tensor(-0.001531511, shape=(), dtype=float32)","tf.Tensor(1.0895326, shape=(), dtype=float32)","tf.Tensor(0.9999745, shape=(), dtype=float32)"
"tf.Tensor(1.0879431, shape=(), dtype=float32)","tf.Tensor(-0.0014732688, shape=(), dtype=float32)","tf.Tensor(1.0894164, shape=(), dtype=float32)","tf.Tensor(0.9999497, shape=(), dtype=float32)"
"tf.Tensor(1.0878495, shape=(), dtype=float32)","tf.Tensor(-0.0014507088, shape=(), dtype=float32)","tf.Tensor(1.0893002, shape=(), dtype=float32)","tf.Tensor(0.99994314, shape=(), dtype=float32)"
"tf.Tensor(1.0876666, shape=(), dtype=float32)","tf.Tensor(-0.0015165929, shape=(), dtype=float32)","tf.Tensor(1.0891832, shape=(), dtype=float32)","tf.Tensor(0.9999814, shape=(), dtype=float32)"
"tf.Tensor(1.0877063, shape=(), dtype=float32)","tf.Tensor(-0.0013599186, shape=(), dtype=float32)","tf.Tensor(1.0890663, shape=(), dtype=float32)","tf.Tensor(0.9999086, shape=(), dtype=float32)"
"tf.Tensor(1.0877638, shape=(), dtype=float32)","tf.Tensor(-0.0011851386, shape=(), dtype=float32)","tf.Tensor(1.088949, shape=(), dtype=float32)","tf.Tensor(0.999827, shape=(), dtype=float32)"
"tf.Tensor(1.0873744, shape=(), dtype=float32)","tf.Tensor(-0.0014569422, shape=(), dtype=float32)","tf.Tensor(1.0888314, shape=(), dtype=float32)","tf.Tensor(0.99996877, shape=(), dtype=float32)"
"tf.Tensor(1.0874428, shape=(), dtype=float32)","tf.Tensor(-0.0012696977, shape=(), dtype=float32)","tf.Tensor(1.0887125, shape=(), dtype=float32)","tf.Tensor(0.9998807, shape=(), dtype=float32)"
"tf.Tensor(1.0872262, shape=(), dtype=float32)","tf.Tensor(-0.0013671219, shape=(), dtype=float32)","tf.Tensor(1.0885932, shape=(), dtype=float32)","tf.Tensor(0.99993455, shape=(), dtype=float32)"
"tf.Tensor(1.0872058, shape=(), dtype=float32)","tf.Tensor(-0.0012675787, shape=(), dtype=float32)","tf.Tensor(1.0884733, shape=(), dtype=float32)","tf.Tensor(0.9998894, shape=(), dtype=float32)"
"tf.Tensor(1.0871859, shape=(), dtype=float32)","tf.Tensor(-0.001166153, shape=(), dtype=float32)","tf.Tensor(1.088352, shape=(), dtype=float32)","tf.Tensor(0.9998426, shape=(), dtype=float32)"
"tf.Tensor(1.0869654, shape=(), dtype=float32)","tf.Tensor(-0.0012647135, shape=(), dtype=float32)","tf.Tensor(1.0882301, shape=(), dtype=float32)","tf.Tensor(0.99989533, shape=(), dtype=float32)"
"tf.Tensor(1.0867841, shape=(), dtype=float32)","tf.Tensor(-0.0013233456, shape=(), dtype=float32)","tf.Tensor(1.0881075, shape=(), dtype=float32)","tf.Tensor(0.9999274, shape=(), dtype=float32)"
"tf.Tensor(1.0865763, shape=(), dtype=float32)","tf.Tensor(-0.0014076105, shape=(), dtype=float32)","tf.Tensor(1.087984, shape=(), dtype=float32)","tf.Tensor(0.99997175, shape=(), dtype=float32)"
"tf.Tensor(1.0868062, shape=(), dtype=float32)","tf.Tensor(-0.0010534092, shape=(), dtype=float32)","tf.Tensor(1.0878596, shape=(), dtype=float32)","tf.Tensor(0.9997963, shape=(), dtype=float32)"
"tf.Tensor(1.0864702, shape=(), dtype=float32)","tf.Tensor(-0.0012640259, shape=(), dtype=float32)","tf.Tensor(1.0877342, shape=(), dtype=float32)","tf.Tensor(0.9999031, shape=(), dtype=float32)"
